stakeholders,position ,Gender,official_role,decision_role,Expertise,Experience,Availability,Interest_2019,Interest_2020,Relevance_2019,Relevance_2020,Influence_2019,Influence_2020,Attitude_2019,Attitude_2020
PPC,NA,Mixed,Govement management,"Decide, manage the operation",budgeting,4,1,1,2,5,5,4.5,4.5,Positive,Positive
Vice Chairman PPC,Vice Chairman PC,Male,Construction and Foreign Affairs,Influence,budgeting,4,1.5,3,3,2,4.5,2,3,Positive,Positive
PDARD,NA,Mixed,Provide advisory support to PC for the government management in agriculture,"Consolidate district reports, proposed proposal, plan. Request to PC to get support for scaling (and then PC will assign DARD to take charge in this)",policy,4,3.5,3,3.5,5,5,4,4,Positive,Positive
Vice Director PDARD, Vice-Director/ Steering Committee ,Male,Responsible for Water Resource Management!!!,Steer,policy,4,1.5,2,3.5,5,5,4,4,Positive,Positive
Director PDARD,Director PDARD/ cum Agriculture vice Director,Male,Management ,Steer,policy,NA,NA,,1,,5,,4,No information,Positive
WU,NA,Female,"For gender equality, protect women right, focus on poor wome, propaganda",Capacity training on SAA,gender,4,5,3,3.5,3,3,3.5,3.5,Positive,Positive
Chairwoman WU,Chairwoman,Female,Management,Gender component,gender,3.5,5,3,3.75,3,3,3.5,3.5,Positive,Positive
Vice Director PHMS,Vice-Director,Female,Management,Weather forecast,weather forecast,5,5,2.5,5,5,5,2,3,Positive,Positive
Officer,NA,Male,NA,NA,weather forecast,4,2.5,4,0,5,0,2,0,Positive,Positive
DPI,,Mixed,"Receive, compile, plans",Verify plan,planning,4,1,0,2,5,5,4,4,No information,Neutral
DOF,,Mixed,"Receive, compile, budget",Verify budget,budgeting,4,1,0,2,5,5,4,4,No information,Neutral
Dien Bien DPC,,Mixed,Government management,"Report, Propose, Implement",overall implementation,3,2,0,0,5,5,3.5,3.5,Positive,Positive
Vice Chairman DPC,Vice Chairman PC,Male,Responsible for Agriculture,"Report, Propose, Implement",overall implementation,3,2,3,3,5,5,3,4.5,Positive,Positive
DDARD ,,Mixed,Provide advisory support to PC for the government management in agriculture,,overall implementation,3,2,3,3,5,5,3,3,Positive,Positive
Project communes,,Mixed,x,Implement,overall implementation,4,2,3,3,5,5,3.5,3.5,Positive,Positive
Non-project communes,,Mixed,x,Implement,overall implementation,0,2,0,0,5,5,3,3,No information,No information
DAEC,,Mixed,Implement,Implement,overall implementation,4,5,5,5,4,4,3.5,3.5,Positive,Positive
DASC,,Mixed,Implement,Implement,overall implementation,NA,NA,NA,NA,NA,NA,NA,NA,No information,No information
City DARD,,Mixed,Provide advisory support to PC for the government management in agriculture,,overall implementation,NA,NA,NA,1,,1,,1,No information,Neutral
Technical working group,,Mixed,"Government: Technical staff (agri-extension, plant protection, agri)
Project: Project Officers",Direct implementation,forecast and advice,5,5,3.5,4.5,4,4,3,3,Positive,Positive
CCD,,Mixed,Implement development project,"Technical support in coordination, training on gender",overall implementation,4,4,3,4,3,3,2,2,Positive,Positive
Director CCD,Director,Male,Management,Overall management from CCD,overall implementation,3,1.5,3,3,3,3,2,2,Positive,Positive
Vice Director CCD,Vice-Director,Female,Lead technical activities,"Technical support in coordination, training on gender",overall implementation,5,5,4,4,3,3,2,2,Positive,Positive
VSLA,,Female,Involve in the pilot ACIS project ,"Voice out the importance of ACIS and need to upscale, sharing information to peers and authority",communications and usage,5,5,2,3,5,4,2,2,Positive,Positive
non-VSLA,farmers,Mixed,farmers,"Reflect on the impacts and the needs for ACS, beneficiaries",advice usage,2,3,1,1,4,4,1,1,Positive,Positive
CVN,NGO,Mixed,NGO,Advocate for the decision,gender and management,5,5,5,5,5,5,3.5,3.5,Positive,Positive
"Chief of Office, VMHA",Chief of Office,Male,,Legal issues related to hydromet law,policy,5,2,4,4,3,3,4,4,Positive,Positive
Agricultural input suppliers,,Mixed,,,fertilizer and pesticide,5,0,2,2,5,5,0,0,Negative,Negative
SMS service providers,,Mixed,,Provide SMS services,communications,4,1,,5,,5,,0,No information,Positive
Project village leaders,Village leaders,Mixed,Direct support implementation of policies at village level,Reflect on the impacts of ACIS and needs for information,overall implementation,5,5,2,3,5,5,3,3,Positive,Positive
MONRE,NA,Mixed,Management,Influence,policy,5,1,2,2,5,5,4,4,Positive,Positive
MARD,NA,Mixed,Management,Influence,policy,5,1,1,1,5,5,4,4,Positive,Positive
MPI,NA,Mixed,"Receive, compile, plans",Verify plan,planning,4,1,1,1,5,5,4,4,No information,No information
MOF,NA,Mixed,"Receive, compile, plans",Verify budget,budgeting,4,1,1,1,5,5,4,4,No information,No information
People's Councils,NA,Mixed,Approve plan and budget,Approve plan and budget,"policy, planning and budgeting",4,1,0,0,5,5,5,5,Positive,Positive
